id;nome;ruolo;squadra
5841;Svilar;POR;Roma
5116;Martinez Jo.;POR;Inter
4431;Carnesecchi;POR;Atalanta
6966;Butez;POR;Como
4964;Vicario;POR;Juventus
4312;Maignan;POR;Milan
2521;De Gea;POR;Fiorentina
572;Meret;POR;Napoli
133;Skorupski;POR;Bologna
4360;Caprile;POR;Cagliari
5876;Di Gregorio;POR;Juventus
6482;Mandas;POR;Lazio
6462;Okoye;POR;Udinese
7332;Bijlow;POR;Genoa
2134;Falcone;POR;Lecce
7411;Daffara;POR;Parma
4236;Muric;POR;Sassuolo
218;Perin;POR;Juventus
6248;Stankovic F.;POR;Venezia
4485;Thiam;POR;Monza
2170;Milinkovic-Savic V.;POR;Napoli
6415;Palmisani;POR;Frosinone
7463;Desplanches;POR;Frosinone
2814;Provedel;POR;Inter
4;Sportiello;POR;Atalanta
7533;Happonen;POR;Bologna
7172;Pessina Mas.;POR;Bologna
6650;Sherri;POR;Cagliari
7301;Tornqvist;POR;Como
2809;Vigorito;POR;Como
6403;Christensen O.;POR;Fiorentina
158;Lezzerini;POR;Fiorentina
7466;Lolic;POR;Frosinone
219;Sommariva;POR;Genoa
6569;Stolz;POR;Genoa
1926;Di Gennaro;POR;Inter
1930;Pinsoglio;POR;Juventus
7337;Motta;POR;Lazio
7534;Renzetti;POR;Lazio
2815;Terracciano;POR;Milan
6813;Torriani;POR;Milan
6682;Pizzignacco;POR;Monza
7475;Strajnar;POR;Monza
2845;Contini;POR;Napoli
6662;Corvi;POR;Parma
7048;De Marzi;POR;Roma
610;Gollini;POR;Roma
4518;Russo A.;POR;Sassuolo
4867;Turati;POR;Sassuolo
7457;Mascardi;POR;Torino
5320;Paleari;POR;Torino
7363;Siviero;POR;Torino
543;Padelli;POR;Udinese
5707;Piana;POR;Udinese
6671;Grandi;POR;Venezia
7531;Pozzi;POR;Venezia
7545;Vismara;POR;Atalanta
2127;Satalino;POR;Sassuolo
7557;Penev;POR;Lecce
7560;Pisseri;POR;Frosinone
3;Radunovic;POR;Cagliari
4957;Montipò;POR;Venezia
4468;Bleve;POR;Lecce
254;Dimarco;DIF;Inter
4998;Molina N.;DIF;Roma
7181;Wesley;DIF;Roma
4159;Akanji;DIF;Inter
2788;Bremer;DIF;Juventus
2296;Mancini;DIF;Roma
2120;Bastoni;DIF;Inter
5022;Pavlovic;DIF;Milan
4409;Rrahmani;DIF;Napoli
4976;Kalulu;DIF;Juventus
4317;N'Dicka;DIF;Roma
6956;Solet;DIF;Udinese
2514;Stones;DIF;Inter
5833;Gila;DIF;Milan
2816;Di Lorenzo;DIF;Napoli
5982;Spence;DIF;Inter
5750;Ostigard;DIF;Genoa
6217;Bisseck;DIF;Inter
5526;Scalvini;DIF;Atalanta
6869;Ramon;DIF;Como
5885;Dodò;DIF;Fiorentina
4807;Hermoso;DIF;Roma
5514;Vasquez;DIF;Genoa
5520;Cambiaso;DIF;Juventus
5641;Chalobah T.;DIF;Como
6046;Hien;DIF;Atalanta
554;Zappacosta;DIF;Atalanta
6042;Lucumì;DIF;Juventus
4734;Miranda J.;DIF;Bologna
4210;Mina;DIF;Cagliari
5365;Dragusin;DIF;Fiorentina
6531;Jimenez A.;DIF;Fiorentina
6814;Norton-Cuffy;DIF;Genoa
4657;Celik;DIF;Juventus
6496;Bartesaghi;DIF;Milan
1852;Spinazzola;DIF;Napoli
6664;Delprato;DIF;Parma
5862;Valeri;DIF;Parma
7529;Koulierakis;DIF;Roma
4994;Vojvoda;DIF;Udinese
6727;Couto;DIF;Como
5701;Obert;DIF;Cagliari
7414;Kaiki;DIF;Como
5877;Carlos Augusto;DIF;Inter
6320;Doekhi;DIF;Lazio
460;Romagnoli;DIF;Lazio
6989;Tiago Gabriel;DIF;Lecce
4401;Gabbia;DIF;Milan
4751;Tomori;DIF;Milan
2724;Buongiorno;DIF;Napoli
6672;Idzes;DIF;Sassuolo
6642;Coco;DIF;Torino
5010;Ismajli;DIF;Torino
6485;Kristensen T.;DIF;Atalanta
6916;Ahanor;DIF;Atalanta
4887;Bellanova;DIF;Atalanta
7219;Bernasconi;DIF;Atalanta
7212;Heggem;DIF;Bologna
4433;Zortea;DIF;Bologna
6867;Valle;DIF;Como
7294;Valdepenas;DIF;Fiorentina
7410;Viery;DIF;Fiorentina
4952;Monterisi;DIF;Frosinone
6660;Marcandalli;DIF;Genoa
4177;Pavard;DIF;Inter
5620;Tavares N.;DIF;Lazio
2188;Marusic;DIF;Lazio
4502;Gallo;DIF;Lecce
7485;Mangas;DIF;Monza
6202;Beukema;DIF;Napoli
6495;Comuzzo;DIF;Torino
5555;Kamara H.;DIF;Udinese
7253;Bella-Kotchap;DIF;Venezia
7329;Obrador;DIF;Sassuolo
2640;Kolasinac;DIF;Atalanta
7068;Vitik;DIF;Bologna
5678;Holm;DIF;Bologna
7532;Kofler;DIF;Cagliari
7274;Zè Pedro;DIF;Cagliari
6893;Kempf;DIF;Como
5449;Parisi;DIF;Fiorentina
7469;Bracaglia;DIF;Frosinone
6238;Oyono A.;DIF;Frosinone
2593;Martin;DIF;Genoa
6766;Kelly L.;DIF;Juventus
4817;Pedraza;DIF;Lazio
6632;Gaspar K.;DIF;Lecce
6990;Veiga D.;DIF;Lecce
5840;Olivera;DIF;Napoli
6986;Rensch;DIF;Roma
6426;Pedersen;DIF;Torino
6890;Moreno M.;DIF;Venezia
5695;Haps;DIF;Venezia
7069;Fortini;DIF;Torino
7564;Leysen F.;DIF;Sassuolo
4461;Zappa;DIF;Cagliari
7014;Smolcic I.;DIF;Como
5603;Pongracic;DIF;Fiorentina
7467;Calvani;DIF;Frosinone
7537;Mitaj;DIF;Genoa
5831;Gatti;DIF;Juventus
7240;Siebert;DIF;Lecce
2115;Delli Carri;DIF;Monza
6659;Lucchesi;DIF;Monza
5838;Birindelli;DIF;Monza
5307;Valenti;DIF;Parma
6631;Ghilardi;DIF;Roma
4374;Walukiewicz;DIF;Sassuolo
5851;Doig;DIF;Sassuolo
7526;Comert;DIF;Torino
4263;Kabasele;DIF;Udinese
5820;Bertola;DIF;Udinese
5527;Zanoli;DIF;Udinese
7312;Arizala;DIF;Udinese
7538;Halhal;DIF;Venezia
4845;Correia T.;DIF;Venezia
4375;Terzic;DIF;Frosinone
7563;Favasuli;DIF;Napoli
5578;Kossounou;DIF;Atalanta
5498;Casale;DIF;Bologna
7268;Rodriguez Ju.;DIF;Cagliari
7125;Idrissi R.;DIF;Cagliari
4378;Ranieri L.;DIF;Fiorentina
7175;Joao Mario;DIF;Fiorentina
7540;Akpoguma;DIF;Frosinone
5757;Cittadini;DIF;Frosinone
7012;Provstgaard;DIF;Lazio
7131;Floriani Mussolini;DIF;Lazio
5739;De Winter;DIF;Milan
5273;Estupinan;DIF;Milan
7238;Kouadio;DIF;Monza
4925;Carboni A.;DIF;Monza
7235;Troilo;DIF;Parma
7255;Britschgi;DIF;Parma
6985;Candè;DIF;Sassuolo
6892;Schingtienne;DIF;Venezia
6673;Sverko;DIF;Venezia
6821;Hainaut;DIF;Venezia
7326;Helland;DIF;Bologna
7483;Alhassane;DIF;Bologna
6896;Van Der Brempt;DIF;Como
6977;Otoa;DIF;Genoa
7413;Puczka;DIF;Genoa
791;Sabelli;DIF;Genoa
2263;Lazzari;DIF;Lazio
2728;Pellegrini Lu.;DIF;Lazio
6883;Jean;DIF;Lecce
7525;Diawara S.;DIF;Milan
6638;Marin R.;DIF;Napoli
252;Biraghi;DIF;Torino
6925;Palma;DIF;Udinese
5994;Ebosse;DIF;Udinese
7478;Franjic;DIF;Venezia
6681;Sagrado;DIF;Venezia
7548;Aurelio;DIF;Cagliari
5812;Terracciano F.;DIF;Milan
487;De Silvestri;DIF;Bologna
418;Goldaniga;DIF;Como
5424;Amey;DIF;Frosinone
7470;Oyono J.;DIF;Frosinone
7471;Corrado;DIF;Frosinone
6244;Matturro;DIF;Genoa
294;Rugani;DIF;Juventus
6039;Cabal;DIF;Juventus
327;Patric;DIF;Lazio
7182;Ndaba;DIF;Lecce
5399;Antov;DIF;Monza
7476;Bakoune;DIF;Monza
6809;Marianucci;DIF;Napoli
5481;Mazzocchi;DIF;Napoli
7202;Ndiaye;DIF;Parma
6149;Carboni F.;DIF;Parma
7260;Ziolkowski;DIF;Roma
6189;Missori;DIF;Sassuolo
7156;Pieragnolo;DIF;Sassuolo
7356;Mlacic;DIF;Udinese
6021;Abankwah;DIF;Udinese
7454;Gomes;DIF;Venezia
7154;Odenthal;DIF;Sassuolo
7553;Omar Fayed;DIF;Frosinone
7573;Cinquegrano;DIF;Sassuolo
6875;Paz N.;CEN;Como
4777;McTominay;CEN;Napoli
2194;Calhanoglu;CEN;Inter
2167;Orsolini;CEN;Bologna
2423;Pulisic;CEN;Milan
2379;Rabiot;CEN;Milan
7126;Baturina;CEN;Como
7556;Mora;CEN;Roma
5559;Da Cunha;CEN;Como
2766;Zaniolo;CEN;Udinese
6908;Atta;CEN;Fiorentina
1870;Barella;CEN;Inter
4973;McKennie;CEN;Juventus
632;Zaccagni;CEN;Lazio
2517;De Bruyne;CEN;Napoli
5687;Vlasic;CEN;Torino
5800;Gudmundsson A.;CEN;Fiorentina
7314;Taylor K.;CEN;Lazio
5792;Ederson D.S.;CEN;Atalanta
5119;Samardzic;CEN;Atalanta
7129;Rodriguez Je.;CEN;Como
7436;Alajbegovic;CEN;Juventus
6884;Conceicao;CEN;Juventus
2606;Modric;CEN;Milan
7078;Mastantuono;CEN;Fiorentina
6372;Moreira;CEN;Milan
5172;Jones C.;CEN;Inter
6844;Rowe;CEN;Bologna
5823;Baldanzi;CEN;Genoa
4220;Zambo Anguissa;CEN;Napoli
6151;Perrone;CEN;Como
152;Zielinski;CEN;Inter
5562;Thuram K.;CEN;Juventus
4892;Saelemaekers;CEN;Milan
536;Politano;CEN;Napoli
5589;Konè M.;CEN;Roma
5844;Thorstvedt;CEN;Sassuolo
5888;Casadei;CEN;Torino
6684;Ekkelenkamp;CEN;Udinese
530;Pellegrini Lo.;CEN;Roma
2077;Pasalic;CEN;Atalanta
184;Bernardeschi;CEN;Bologna
1933;Mandragora;CEN;Fiorentina
5500;Cancellieri;CEN;Lazio
6398;Isaksen;CEN;Lazio
6717;Konè I.;CEN;Sassuolo
2765;Odgaard;CEN;Bologna
4436;Cambiaghi;CEN;Bologna
4465;Fagioli;CEN;Fiorentina
6294;Ndour;CEN;Fiorentina
6274;Diouf;CEN;Inter
7070;Sucic P.;CEN;Inter
827;Locatelli;CEN;Juventus
5878;Colpani;CEN;Monza
7223;Vergara;CEN;Napoli
779;Cristante;CEN;Roma
7551;Schmid;CEN;Frosinone
4364;Gaetano;CEN;Atalanta
5858;Ferguson;CEN;Bologna
6010;Fazzini;CEN;Cagliari
7472;Calò;CEN;Frosinone
5791;Frendrup;CEN;Genoa
